date,market,region,latitude,longitude,elevation_m,temp_max_c,temp_min_c,rainfall_mm,rain_mm,precip_hours,humidity_max_pct,humidity_min_pct,wind_speed_max_kmh,sunshine_seconds,et0_evapotranspiration_mm,water_balance_mm,fetched_at,data_source
2025-06-14,Kampala,Central,0.38664323,32.580143,1174.0,25.4,18.6,0.8,0.8,2.0,90,55,19.2,42644.55,4.16,-3.3600000000000003,2026-06-14T10:33:38.905678,open-meteo.com
2025-06-15,Kampala,Central,0.38664323,32.580143,1174.0,25.2,19.3,0.3,0.3,3.0,86,55,20.3,42656.29,4.52,-4.22,2026-06-14T10:33:38.905815,open-meteo.com
2025-06-16,Kampala,Central,0.38664323,32.580143,1174.0,25.1,19.2,1.3,1.3,5.0,85,53,20.7,42667.94,4.25,-2.95,2026-06-14T10:33:38.905938,open-meteo.com
2025-06-17,Kampala,Central,0.38664323,32.580143,1174.0,25.0,19.0,1.8,1.8,6.0,90,59,15.8,42680.0,3.95,-2.1500000000000004,2026-06-14T10:33:38.906022,open-meteo.com
2025-06-18,Kampala,Central,0.38664323,32.580143,1174.0,25.9,18.5,1.5,1.5,4.0,92,54,11.1,37531.79,3.28,-1.7799999999999998,2026-06-14T10:33:38.906102,open-meteo.com
2025-06-19,Kampala,Central,0.38664323,32.580143,1174.0,26.1,17.4,0.2,0.2,2.0,97,56,11.4,35270.39,3.17,-2.9699999999999998,2026-06-14T10:33:38.906183,open-meteo.com
2025-06-20,Kampala,Central,0.38664323,32.580143,1174.0,26.6,17.0,0.0,0.0,0.0,95,52,7.7,42718.29,4.23,-4.23,2026-06-14T10:33:38.906263,open-meteo.com
2025-06-21,Kampala,Central,0.38664323,32.580143,1174.0,26.7,17.2,0.7,0.7,6.0,96,48,13.7,42731.54,4.18,-3.4799999999999995,2026-06-14T10:33:38.906340,open-meteo.com
2025-06-22,Kampala,Central,0.38664323,32.580143,1174.0,26.0,18.0,2.0,2.0,5.0,97,62,8.9,40862.07,3.68,-1.6800000000000002,2026-06-14T10:33:38.906419,open-meteo.com
2025-06-23,Kampala,Central,0.38664323,32.580143,1174.0,25.6,17.8,1.0,1.0,4.0,92,62,13.8,42758.39,3.66,-2.66,2026-06-14T10:33:38.906503,open-meteo.com
2025-06-24,Kampala,Central,0.38664323,32.580143,1174.0,24.0,18.5,8.8,8.8,10.0,95,74,17.1,32257.42,2.46,6.340000000000001,2026-06-14T10:33:38.906581,open-meteo.com
2025-06-25,Kampala,Central,0.38664323,32.580143,1174.0,26.1,16.6,0.8,0.8,4.0,100,55,9.2,39581.13,3.94,-3.1399999999999997,2026-06-14T10:33:38.906683,open-meteo.com
2025-06-26,Kampala,Central,0.38664323,32.580143,1174.0,26.5,17.5,1.3,1.3,2.0,93,52,14.6,42798.55,4.19,-2.8900000000000006,2026-06-14T10:33:38.906758,open-meteo.com
2025-06-27,Kampala,Central,0.38664323,32.580143,1174.0,27.0,18.0,0.6,0.6,3.0,89,53,13.2,42811.66,4.3,-3.6999999999999997,2026-06-14T10:33:38.906847,open-meteo.com
2025-06-28,Kampala,Central,0.38664323,32.580143,1174.0,27.2,18.1,1.1,1.1,3.0,92,51,13.5,42824.51,3.93,-2.83,2026-06-14T10:33:38.906955,open-meteo.com
2025-06-29,Kampala,Central,0.38664323,32.580143,1174.0,24.9,18.0,4.0,4.0,8.0,95,65,14.6,27413.58,2.64,1.3599999999999999,2026-06-14T10:33:38.907026,open-meteo.com
2025-06-30,Kampala,Central,0.38664323,32.580143,1174.0,24.9,16.9,0.9,0.9,4.0,97,60,12.4,32777.2,3.47,-2.5700000000000003,2026-06-14T10:33:38.907105,open-meteo.com
2025-07-01,Kampala,Central,0.38664323,32.580143,1174.0,24.1,18.1,5.0,5.0,8.0,89,62,15.2,42860.93,3.47,1.5299999999999998,2026-06-14T10:33:38.907183,open-meteo.com
2025-07-02,Kampala,Central,0.38664323,32.580143,1174.0,25.8,17.1,0.1,0.1,1.0,93,51,17.3,39272.14,4.08,-3.98,2026-06-14T10:33:38.907266,open-meteo.com
2025-07-03,Kampala,Central,0.38664323,32.580143,1174.0,25.2,17.9,8.3,8.3,6.0,92,62,10.5,42882.79,3.7,4.6000000000000005,2026-06-14T10:33:38.907334,open-meteo.com
2025-07-04,Kampala,Central,0.38664323,32.580143,1174.0,25.2,17.5,11.2,11.2,6.0,97,63,9.3,38420.76,3.47,7.729999999999999,2026-06-14T10:33:38.907402,open-meteo.com
2025-07-05,Kampala,Central,0.38664323,32.580143,1174.0,25.5,17.5,2.2,2.2,4.0,97,60,10.4,42588.81,3.71,-1.5099999999999998,2026-06-14T10:33:38.907499,open-meteo.com
2025-07-06,Kampala,Central,0.38664323,32.580143,1174.0,24.8,18.0,8.4,8.4,6.0,93,66,13.7,38610.67,3.13,5.2700000000000005,2026-06-14T10:33:38.907569,open-meteo.com
2025-07-07,Kampala,Central,0.38664323,32.580143,1174.0,24.0,17.7,5.6,5.6,7.0,97,67,11.2,27066.28,2.8,2.8,2026-06-14T10:33:38.907637,open-meteo.com
2025-07-08,Kampala,Central,0.38664323,32.580143,1174.0,25.5,17.0,0.9,0.9,6.0,99,60,10.9,42927.58,3.75,-2.85,2026-06-14T10:33:38.907705,open-meteo.com
2025-07-09,Kampala,Central,0.38664323,32.580143,1174.0,23.1,17.0,8.9,8.9,12.0,98,70,18.8,31431.6,2.84,6.0600000000000005,2026-06-14T10:33:38.907775,open-meteo.com
2025-07-10,Kampala,Central,0.38664323,32.580143,1174.0,21.3,18.1,0.3,0.3,3.0,92,65,16.2,6430.78,1.66,-1.3599999999999999,2026-06-14T10:33:38.907846,open-meteo.com
2025-07-11,Kampala,Central,0.38664323,32.580143,1174.0,24.7,17.4,0.4,0.4,3.0,87,56,17.4,41898.44,3.73,-3.33,2026-06-14T10:33:38.907940,open-meteo.com
2025-07-12,Kampala,Central,0.38664323,32.580143,1174.0,25.2,17.8,4.1,4.1,3.0,91,65,12.2,39026.66,3.53,0.5699999999999998,2026-06-14T10:33:38.908010,open-meteo.com
2025-07-13,Kampala,Central,0.38664323,32.580143,1174.0,26.1,17.3,0.4,0.4,4.0,95,60,11.3,42027.94,3.58,-3.18,2026-06-14T10:33:38.908077,open-meteo.com
2025-07-14,Kampala,Central,0.38664323,32.580143,1174.0,23.6,16.9,13.3,13.3,8.0,100,70,13.5,30843.93,2.73,10.57,2026-06-14T10:33:38.908144,open-meteo.com
